Region,Agreement_Type,Provider,Generation_Type,Generation_Capacity,PeriodCode,value,Date,temperature_2m_mean,wind_speed_10m_max,daylight_duration,snowfall_sum,temperature_2m_max,temperature_2m_min,precipitation_sum
Vilniaus regionas,BV,T,Gaminantis vartotojas,"21,79",KWH01,6893.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,84",KWH01,7230.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,765",KWH01,7836.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,5423.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Nutolęs gaminantis vartotojas,0,KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,8731.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,1784.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,6872.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,7,KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"58,74",KWH01,11569.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,8",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,6317.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"20,9",KWH01,7230.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,30,KWH01,11719.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"25,03",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,1",KWH01,5803.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,28",KWH01,4647.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"7,425",KWH01,4620.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"29,96",KWH01,4143.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,1",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,5735.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,4603.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"23,76",KWH01,6411.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"8,32",KWH01,3671.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,3633.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,30,KWH01,5037.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,88",KWH01,1602.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,3206.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"18,02",KWH01,3446.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,9,KWH01,3454.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,3474.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"14,88",KWH01,3902.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"20,8",KWH01,4145.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,99",KWH01,4430.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,26",KWH01,4913.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,9",KWH01,4774.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,5478.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"3,7",KWH01,2825.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,2",KWH01,3405.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,72",KWH01,4646.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"14,97",KWH01,4554.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,16,KWH01,1206.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"8,04",KWH01,5529.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"15,12",KWH01,4351.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"6,3",KWH01,5180.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,3573.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,88",KWH01,8940.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,10,KWH01,4862.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,"19,8",KWH01,3551.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,7",KWH01,254.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,4038.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,92",KWH01,3919.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,KV,T,Gaminantis vartotojas,40,KWH01,2308.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,15,KWH01,2489.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,01",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"14,8",KWH01,1551.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,10,KWH01,2934.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,18,KWH01,1647.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"29,98",KWH01,3733.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,9,KWH01,4029.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"13,5",KWH01,1045.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"9,72",KWH01,0.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"10,22",KWH01,3418.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"4,81",KWH01,3570.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
Vilniaus regionas,BV,T,Gaminantis vartotojas,"19,5",KWH01,5707.0,2022-01-01,5.929634,40.894478,46440.684,62.58,29.0575,-13.3425,461.9
